id,name,officialNameStatus,programmeComponent,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,sourceDocument,sourceSection,sourceItemCode,sourcePage,reportingLevel,lowestReportingLevel,whoPillars,relatedElementIds,relatedIndicatorIds,crosswalkStatus,url
IND-UIP3-001,Sessions held as per plan,Verbatim source-table/text label,Session delivery and quality,Count,count,Source-defined aggregation or count,Not applicable—absolute number of sessions held as planned,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-01,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems,HMIS-DE-0149; HMIS-DE-0150; HMIS-OUT-149,IND-UIP-004,Curated concept link to existing registry/HMIS object; definitions remain separate,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-002,Reasons for sessions not held,Verbatim source-table/text label,Session delivery and quality,Index,categorical distribution,Source-defined assessment or summary statistic,Sessions not held,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-02,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-003,Percentage of sessions found held among monitored HRAs (can be generated by type of HRAs),Verbatim source-table/text label,Session delivery and quality,Percentage/proportion,%,(numerator ÷ denominator) × 100,Planned sessions monitored in high-risk areas,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-03,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-004,ANMs/ASHAs having due list,Verbatim source-table/text label,Session delivery and quality,Percentage/proportion,%,(numerator ÷ denominator) × 100,ANMs/ASHAs observed at monitored sessions,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-04,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems; Health workforce,,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-005,IEC display status,Verbatim source-table/text label,Session delivery and quality,Percentage/proportion,%,(numerator ÷ denominator) × 100,Monitored session sites,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-05,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,Service delivery; Health information systems,,IND-UIP-004,Curated concept link to existing registry/HMIS object; definitions remain separate,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-006,Availability of vaccines,Verbatim source-table/text label,Session delivery and quality,Percentage/proportion,%,(numerator ÷ denominator) × 100,Monitored session sites,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-06,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,"Service delivery; Health information systems; Medical products, vaccines and technologies",,IND-UIP-005,Curated concept link to existing registry/HMIS object; definitions remain separate,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-007,Reason analysis on non-availability of any vaccine,Verbatim source-table/text label,Session delivery and quality,Index,categorical distribution,Source-defined assessment or summary statistic,Monitored session sites where one or more vaccines were unavailable,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-07,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,"Service delivery; Health information systems; Medical products, vaccines and technologies",,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-008,Indicators on AEFI and implementation of OVP,Verbatim source-table/text label,Session delivery and quality,Index,assessment score/status,Source-defined assessment or summary statistic,Monitored session sites,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-08,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,"Service delivery; Health information systems; Medical products, vaccines and technologies",HMIS-DE-0007,IND-UIP-006,Curated concept link to existing registry/HMIS object; definitions remain separate,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-009,Availability of logistics as per microplan,Verbatim source-table/text label,Session delivery and quality,Percentage/proportion,%,(numerator ÷ denominator) × 100,Monitored session sites,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-09,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,"Service delivery; Health information systems; Leadership and governance; Medical products, vaccines and technologies",,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
IND-UIP3-010,Indicators on safe injection practices,Verbatim source-table/text label,Session delivery and quality,Index,assessment score/status,Source-defined assessment or summary statistic,Observed injection-practice items at monitored sessions,"Intensified Mission Indradhanush: Identify, enlist, mobilize, vaccinate, monitor and report to achieve full immunization",Chapter 13: Intensified Mission Indradhanush Session monitoring indicators,SM-10,PDF pages 58–59 (printed pages 40–41),Session/community; block; district; state; national,Session/community,"Service delivery; Health information systems; Medical products, vaccines and technologies",,,No reviewed registry crosswalk yet,https://nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Mission_Indradhanush_Guidelines.pdf
