occurrenceId,canonicalElementId,sourceCode,sourceLabel,aggregationRule,zeroBlankSemantics,reportingUnitGuard,totalComponentGuard,temporalGuard,identifierGuard,status
HMIS-RPTCOL-STATE-0036,HMIS-DE-0681,1.1,Total number of NEW Pregnant Women registered for ANC,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0037,HMIS-DE-0593,1.1.a,Out of total number of NEW Pregnant Women registered with age less than <15 years,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0038,HMIS-DE-0592,1.1.b,Out of total number of NEW Pregnant Women registered with age 15-19 years,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0039,HMIS-DE-0594,1.1.c,Out of total number of NEW Pregnant Women registered with age more than >19 to 49 years,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0040,HMIS-DE-0595,1.1.d,Out of total number of NEW Pregnant Women registered with age more than >49 years,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0041,HMIS-DE-0573,1.1.1,"Out of the total NEW ANC registered, number registered within 1st trimester (within 12 weeks)","Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0042,HMIS-DE-0624,1.1.2,Total ANC footfall/cases (Old cases + New Registration) attended,"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0043,HMIS-DE-0493,1.2.1,Number of PW given Td1 (Tetanus Diptheria dose 1),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0044,HMIS-DE-0494,1.2.2,Number of PW given Td2 (Tetanus Diptheria dose 2),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
HMIS-RPTCOL-STATE-0045,HMIS-DE-0492,1.2.3,Number of PW given Td Booster (Tetanus Diptheria dose booster),"Source-defined; generally additive counts unless the field represents a status, stock or subgroup heading","Do not collapse zero, blank, not applicable and non-reporting. Current HMIS 2.0 behavior requires custodian confirmation.","Aggregate only mutually exclusive reporting rows after facility, format and service-context deduplication",Never sum Total with its in-facility/outreach components,Use report period after it is confirmed; do not combine incompatible schema versions,Use HMIS Facility Code as source key and retain NIN/HFR as separate crosswalk identifiers,Operational use pending row-value and custodian validation
