source_id,title,version_or_period,scope,research_treatment,access,url
S01,MoHFW Annual Report 2025-26,2025-26,"Current architecture, uses, training, definitions/validation discussion and physical verification",Current official context,Public PDF,https://notto.mohfw.gov.in/WriteReadData/Portal/News/951_1_Annual_Report_of_the_MoH_FW__2025_-_2026.pdf
S02,HMIS standard reports portal,Live; checked 2026-09-01,"Dashboards, standard/live reports and KPIs",Current operational system; metadata export not publicly resolved,Public landing / session-dependent functions,https://hmis.mohfw.gov.in/#!/standardReports
S03,Revised HMIS reporting formats,Effective April 2025,Eight facility/headquarters monthly formats,Current public form evidence; official state-hosted copy,Public PDFs,https://nhm.hp.gov.in/reporting-formats
S04,NHSRC HMIS programme-manager manual: Indicators,Public PDF hosted 2021; content reflects older programme definitions,"54 structured indicators, formulas, levels, periodicity, rationale",Historical technical guidance; do not treat as current without crosswalk,Public PDF,https://nhsrcindia.org/training-and-tools
S05,NHSRC HMIS programme-manager manual: Data Quality,Public PDF hosted 2021,"Completeness, timeliness, accuracy, zero/blank rules, validation, outliers and correction workflow",Historical technical guidance; validation rules require version review,Public PDF,https://nhsrcindia.org/training-and-tools
S06,NHSRC HMIS programme-manager manual: Use of Information,Public PDF hosted 2021,"District analysis, denominators, case-load patterns and service-gap interpretation",Historical analytical guidance,Public PDF,https://nhsrcindia.org/training-and-tools
S07,Performance of key HMIS indicators up to district level,FY 2019-20 All India resource in current public catalogue,202 named outputs numbered 1-203; number 164 absent,Historical public output layer,Public OGD catalogue/download,https://www.data.gov.in/catalog/performance-key-hmis-indicators-upto-district-level-all-indicators
S08,Item-wise HMIS report: all states and districts across months,FY 2019-20 All India resource,"410 legacy item codes, monthly geography outputs",Historical data-element/output crosswalk,Public OGD catalogue/download,https://www.data.gov.in/catalog/item-wise-hmis-report-all-states-and-districts-across-months
S09,HMIS User Guidelines,Version 1.5; July 2010,"Legacy reporting roles, forms, flow and field guidance",Legacy only,Public MoHFW PDF/indexed copy,https://www.mohfw.gov.in/sites/default/files/7216231442HMISUserGuidelines.pdf
S10,17th Common Review Mission,2025,"Contemporary field findings on HMIS completeness, timeliness, training and register/portal discrepancies","Current implementation evidence, not a national data dictionary",Public NHM PDF,https://nhm.gov.in/New-Update-2024-26/CRM/17th-CRM-2025.pdf
S11,MoHFW Annual Report 2024-25,2024-25,"LGD mapping, GIS, reports/APIs, uses, training and field verification",Recent official context,Public PDF,https://www.mohfw.gov.in/sites/default/files/Final%20Printed%20English%20AR%202024-25.pdf
S12,Revised Comprehensive Reporting Format under NHM,Posted with April 2025 formats,45 programme reporting sheets,Adjacent NHM programme MIS; not identical to core facility HMIS,Public XLSX,https://nhm.hp.gov.in/reporting-formats
