canonicalElementId,canonicalElementLabel,component,facilityTypes,moduleTitles,sourceCodes,absenceClassification,retirementStatus,interpretation,reviewStatus
HMIS-DE-0004,Acute Encephalitis Syndrome/ Japanese Encephalitis (AES/ JE),Vector-borne diseases,Civil Hospital / SDH; District Hospital; Medical College,National Vector Borne Disease Control Programme (NVBDCP),11.4,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0005,Adolescent Friendly Health Clinics (AFHCs),Adolescent health,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; Medical College,Adolescent Health,12.1,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0007,Adverse Event Following Immunisation (AEFI),Immunization,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,CHILD IMMUNISATION,8.6; 9.6,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0008,Age wise maternal deaths reported at block level (Home & Transit deaths),Mortality and death review,Block Headquarters,Mortality Details,3.2,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0010,Age wise total number of delivery (Home +Institutional) reported (2.3.1+2.3.2+2.3.3+2.3.4),Delivery and intrapartum care,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Deliveries,2.3,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0011,Albendazole 400 mg Tablets,"Medicines, supplies and equipment",District Headquarters,Other Items,1.6,Outside observed module scope,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0013,Anaemia- Identified & Treated,Anaemia and nutrition,Block Headquarters; CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC,Anaemia Mukt Bharat,2.2; 4.2; 5.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0014,ANC services,Antenatal care and high-risk pregnancy,CHC; Civil Hospital / SDH; District Hospital; HWC-PHC; HWC-SC; Medical College,Ante Natal Care (ANC) Services & High Risk Pregnancies,1.2,Not observed; applicability unresolved,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0016,Average kilometres travelled by all ALS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.5,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0017,Average kilometres travelled by all BLS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.6,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0018,Average number of trips per day by all ALS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.3,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0019,Average number of trips per day by all BLS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.4,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
HMIS-DE-0020,Average response time (call to scene) for all ALS Ambulances in the district during the month,Patient services and utilization,District Headquarters,National Ambulance Services (ALS- Advance Life Support & BLS- Basic Life Support),3.2,Potential facility/format-specific absence,Not retired,Absent from this Jharkhand report schema only; no conclusion about national/current availability,"Facility type, format type and report-period context required"
