dimensionId,schemaId,columnOrdinal,sourceHeader,canonicalName,category,definition,logicalDataType,identifierRole,hierarchyLevel,candidateStandardOrNamespace,linkageStatus,validationRules,recommendedUses,sensitivityClass,sourceBasis,evidenceUrls,reviewStatus
HMIS-DIM-001,HMIS-RPTSCHEMA-STATE-20260901-001,1,State Code,state_code,Administrative geography,Code identifying the state or Union Territory represented by the row.,string,Geography key,State/UT,Candidate LGD state code; HMIS namespace unconfirmed,Candidate—validate values against LGD,Preserve as text including leading zeros; require State; test one code-to-one-name.,"Geographic filtering, grouping and linkage.",Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-002,HMIS-RPTSCHEMA-STATE-20260901-001,2,State,state_name,Administrative geography,Source-reported state or Union Territory name.,string,Geography label,State/UT,LGD state/UT name,Label reconciliation pending,Require State Code; retain source spelling and historical aliases.,Display and geographic QA.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-003,HMIS-RPTSCHEMA-STATE-20260901-001,3,District Code,district_code,Administrative geography,Code identifying the district represented by the row.,string,Geography key,District,Candidate LGD district code; HMIS namespace unconfirmed,Candidate—validate values against LGD,Preserve as text; require State Code and District Name; test uniqueness within state and period.,District linkage and aggregation.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-004,HMIS-RPTSCHEMA-STATE-20260901-001,4,District Name,district_name,Administrative geography,Source-reported district name.,string,Geography label,District,LGD district name,Label reconciliation pending,Require District Code; compare with a dated LGD name while preserving historical names.,Display and geographic QA.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-005,HMIS-RPTSCHEMA-STATE-20260901-001,5,District Category,district_category,Administrative geography,Source classification assigned to a district for programme or planning purposes.,categorical string,Classification,District,HMIS/State vocabulary,Unconfirmed,Profile values before defining an allowed list; do not infer from district name.,Stratified reporting and planning.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-006,HMIS-RPTSCHEMA-STATE-20260901-001,6,Sub-District / ULB Code,subdistrict_or_ulb_code,Administrative geography,Hybrid field containing either a sub-district code or an urban local body code.,string,Conditional geography key,Sub-district or ULB,Candidate LGD sub-district/ULB code,Ambiguous—entity type required,Preserve as text; resolve entity type before joining; require paired name.,Sub-district or urban linkage after resolution.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-007,HMIS-RPTSCHEMA-STATE-20260901-001,7,Sub-District / ULB Name,subdistrict_or_ulb_name,Administrative geography,Hybrid field containing either a sub-district name or an urban local body name.,string,Conditional geography label,Sub-district or ULB,Candidate LGD sub-district/ULB name,Ambiguous—entity type required,Require paired code; retain exact label; resolve entity type before hierarchy checks.,Display and reconciliation.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-008,HMIS-RPTSCHEMA-STATE-20260901-001,8,Block Code,block_code,Administrative geography,Code identifying the development or administrative block.,string,Geography key,Development block,Candidate LGD development-block code,Candidate—validate values against LGD,Preserve as text; require Block Name and parent geography; test stability by period.,Block linkage and aggregation.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-009,HMIS-RPTSCHEMA-STATE-20260901-001,9,Block Name,block_name,Administrative geography,Source-reported development or administrative block name.,string,Geography label,Development block,Candidate LGD development-block name,Label reconciliation pending,Require Block Code; reconcile spelling and boundary changes against a dated reference.,Display and geographic QA.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-010,HMIS-RPTSCHEMA-STATE-20260901-001,10,Health Block Code,health_block_code,Health administration,Code identifying the health-programme block used for HMIS management.,string,Health-administration key,Health block,HMIS/State health-block namespace,No national reference confirmed,Preserve as text; do not equate with Block Code; permit reviewed many-to-many crosswalks.,Programme aggregation and responsibility mapping.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-011,HMIS-RPTSCHEMA-STATE-20260901-001,11,Health Block Name,health_block_name,Health administration,Name of the health-programme block used for HMIS management.,string,Health-administration label,Health block,HMIS/State health-block vocabulary,No national reference confirmed,Require Health Block Code; do not normalize into Block Name without evidence.,Display and programme review.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-012,HMIS-RPTSCHEMA-STATE-20260901-001,12,Local Assembly Constituency,assembly_constituency,Electoral geography,Source-reported legislative assembly constituency associated with the row.,string,Electoral geography label/key,Assembly constituency,Candidate LGD constituency directory,Candidate linkage,"Determine whether values are codes, names or compound values; validate against a dated reference.",Constituency summaries where methodologically appropriate.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
HMIS-DIM-013,HMIS-RPTSCHEMA-STATE-20260901-001,13,Parliament Constituency,parliament_constituency,Electoral geography,Source-reported parliamentary constituency associated with the row.,string,Electoral geography label/key,Parliamentary constituency,Candidate LGD constituency directory,Candidate linkage,"Determine whether values are codes, names or compound values; validate against a dated reference.",Constituency summaries where appropriate.,Facility/administrative metadata; no person-level field apparent,State HMIS report default-column header extract downloaded 2026-09-01,https://lgdirectory.gov.in/demo/downloadDirectory.do,Provisional analyst definition; validate using actual values and custodian documentation
